fips,county_name,households,population
42031,"Clarion County, PA",14982,36855
42033,"Clearfield County, PA",32089,78132
42035,"Clinton County, PA",15258,37865
42037,"Columbia County, PA",25874,66012
42039,"Crawford County, PA",33616,82089
42041,"Cumberland County, PA",105187,275516
42043,"Dauphin County, PA",119763,293029
42045,"Delaware County, PA",216660,584882
42047,"Elk County, PA",13481,30124
42049,"Erie County, PA",110106,267750
42051,"Fayette County, PA",54962,123941
42053,"Forest County, PA",1944,6601
42055,"Franklin County, PA",63028,159285
42057,"Fulton County, PA",6156,14452
42059,"Greene County, PA",14126,33960
42061,"Huntingdon County, PA",16038,43359
42063,"Indiana County, PA",32291,82953
42065,"Jefferson County, PA",18207,43367
42067,"Juniata County, PA",8928,23395
42069,"Lackawanna County, PA",88266,216859
42071,"Lancaster County, PA",210536,563293
42073,"Lawrence County, PA",36005,84233
42075,"Lebanon County, PA",55846,145319
42077,"Lehigh County, PA",143445,385655
42079,"Luzerne County, PA",133434,331379
42081,"Lycoming County, PA",46201,113236
42083,"McKean County, PA",16204,39478
42085,"Mercer County, PA",46123,108140
42087,"Mifflin County, PA",18502,45935
42089,"Monroe County, PA",60562,166523
42091,"Montgomery County, PA",333514,879190
42093,"Montour County, PA",7689,18115
42095,"Northampton County, PA",121496,322989
42097,"Northumberland County, PA",37581,90027
42099,"Perry County, PA",18232,46816
42101,"Philadelphia County, PA",669222,1573916
42103,"Pike County, PA",24009,62376
42105,"Potter County, PA",6757,15993
42107,"Schuylkill County, PA",57465,144523
42109,"Snyder County, PA",14549,39627
42111,"Somerset County, PA",29071,72134
42113,"Sullivan County, PA",2536,5927
42115,"Susquehanna County, PA",15639,38100
42117,"Tioga County, PA",16639,40698
42119,"Union County, PA",14301,42159
42121,"Venango County, PA",21342,49476
42123,"Warren County, PA",16271,37373
42125,"Washington County, PA",87665,210434
42127,"Wayne County, PA",20314,51419
42129,"Westmoreland County, PA",154385,350935
42131,"Wyoming County, PA",10892,25771
42133,"York County, PA",180207,471240
44001,"Bristol County, RI",19420,50145
44003,"Kent County, RI",72743,172450
44005,"Newport County, RI",36186,83468
44007,"Providence County, RI",256505,675912
44009,"Washington County, RI",52048,130333
45001,"Abbeville County, SC",9536,24607
45003,"Aiken County, SC",68606,179245
45005,"Allendale County, SC",3163,7551
45007,"Anderson County, SC",82134,217183
45009,"Bamberg County, SC",4592,12870
45011,"Barnwell County, SC",8107,20495
45013,"Beaufort County, SC",78794,201775
45015,"Berkeley County, SC",90348,264276
45017,"Calhoun County, SC",6124,14249
45019,"Charleston County, SC",175499,431001
45021,"Cherokee County, SC",21864,57770
45023,"Chester County, SC",12926,32323
45025,"Chesterfield County, SC",17381,44488
45027,"Clarendon County, SC",11949,31030
45029,"Colleton County, SC",15968,39259
45031,"Darlington County, SC",25074,62425
45033,"Dillon County, SC",10587,27577
45035,"Dorchester County, SC",61573,174663
45037,"Edgefield County, SC",9508,29455
45039,"Fairfield County, SC",8773,20369
45041,"Florence County, SC",52522,138049
45043,"Georgetown County, SC",26593,66035
45045,"Greenville County, SC",215774,570745
45047,"Greenwood County, SC",27770,70041
45049,"Hampton County, SC",7104,18172
45051,"Horry County, SC",150342,413391
45053,"Jasper County, SC",12420,35618
45055,"Kershaw County, SC",25877,71698
45057,"Lancaster County, SC",39204,111652
45059,"Laurens County, SC",26291,70545
45061,"Lee County, SC",6294,15958
45063,"Lexington County, SC",120789,313774
45065,"McCormick County, SC",4107,9983
45067,"Marion County, SC",11788,28368
45069,"Marlboro County, SC",9729,25498
45071,"Newberry County, SC",15220,39203
45073,"Oconee County, SC",33653,82475
45075,"Orangeburg County, SC",32880,83129
45077,"Pickens County, SC",51404,138207
45079,"Richland County, SC",165308,430651
45081,"Saluda County, SC",7507,19452
45083,"Spartanburg County, SC",128606,369256
45085,"Sumter County, SC",41181,104776
45087,"Union County, SC",11738,26678
45089,"Williamsburg County, SC",12160,29865
45091,"York County, SC",111623,303001
46003,"Aurora County, SD",1042,2752
46005,"Beadle County, SD",7485,19459
46007,"Bennett County, SD",1024,3289
46009,"Bon Homme County, SD",2426,7071
46011,"Brookings County, SD",13490,36359
46013,"Brown County, SD",16364,37495
46015,"Brule County, SD",1932,5261
46017,"Buffalo County, SD",496,1825
46019,"Butte County, SD",4230,10891
46021,"Campbell County, SD",704,1342
46023,"Charles Mix County, SD",3006,9343
46025,"Clark County, SD",1322,3974
46027,"Clay County, SD",5561,15245
46029,"Codington County, SD",12361,29278
46031,"Corson County, SD",1112,3747
46033,"Custer County, SD",4033,9330
46035,"Davison County, SD",8714,19907
46037,"Day County, SD",2343,5408
46039,"Deuel County, SD",1800,4335
46041,"Dewey County, SD",1681,5322
46043,"Douglas County, SD",1117,2849
46045,"Edmunds County, SD",1589,4027
46047,"Fall River County, SD",3443,7359
46049,"Faulk County, SD",836,2136
46051,"Grant County, SD",2989,7618
46053,"Gregory County, SD",1635,4110
46055,"Haakon County, SD",674,1834
46057,"Hamlin County, SD",2181,6596
46059,"Hand County, SD",1373,3097
46061,"Hanson County, SD",1134,3477
46063,"Harding County, SD",493,1325
46065,"Hughes County, SD",7316,17526
46067,"Hutchinson County, SD",2944,7416
46069,"Hyde County, SD",535,1215
46071,"Jackson County, SD",740,2737
46073,"Jerauld County, SD",827,1689
46075,"Jones County, SD",355,874
46077,"Kingsbury County, SD",2031,5261
46079,"Lake County, SD",4632,11006
46081,"Lawrence County, SD",11812,28809
46083,"Lincoln County, SD",26645,75244
46085,"Lyman County, SD",1185,3721
46087,"McCook County, SD",2218,5771
46089,"McPherson County, SD",896,2307
46091,"Marshall County, SD",1646,4395
46093,"Meade County, SD",11801,30918
46095,"Mellette County, SD",616,1834
46097,"Miner County, SD",916,2303
46099,"Minnehaha County, SD",82394,208639
46101,"Moody County, SD",2504,6529
46102,"Oglala Lakota County, SD",2731,13360
46103,"Pennington County, SD",45698,115979
46105,"Perkins County, SD",1254,2832
46107,"Potter County, SD",1021,2402
46109,"Roberts County, SD",3657,10283
46111,"Sanborn County, SD",929,2392
46115,"Spink County, SD",2453,6108
46117,"Stanley County, SD",1272,3015
46119,"Sully County, SD",624,1468
46121,"Todd County, SD",2474,9172
46123,"Tripp County, SD",2265,5717
46125,"Turner County, SD",3535,9087
46127,"Union County, SD",7124,17402
46129,"Walworth County, SD",2396,5270
46135,"Yankton County, SD",9792,23509
46137,"Ziebach County, SD",724,2418
47001,"Anderson County, TN",32069,81449
47003,"Bedford County, TN",18953,54228
47005,"Benton County, TN",6928,16173
47007,"Bledsoe County, TN",4812,15591
47009,"Blount County, TN",54449,142211
47011,"Bradley County, TN",41909,113782
47013,"Campbell County, TN",16709,40238
47015,"Cannon County, TN",5686,15142
47017,"Carroll County, TN",11258,29107
47019,"Carter County, TN",24188,57434
47021,"Cheatham County, TN",15908,42604
47023,"Chester County, TN",6333,17876
47025,"Claiborne County, TN",13456,33070
47027,"Clay County, TN",3201,7857
47029,"Cocke County, TN",15123,37596
47031,"Coffee County, TN",22794,61285
47033,"Crockett County, TN",5494,13973
47035,"Cumberland County, TN",27447,65618
47037,"Davidson County, TN",314578,729505
47039,"Decatur County, TN",4439,11800
47041,"DeKalb County, TN",8495,21747
47043,"Dickson County, TN",21092,57641
47045,"Dyer County, TN",14884,36403
47047,"Fayette County, TN",16730,44476
47049,"Fentress County, TN",7706,20129
47051,"Franklin County, TN",17097,45137
47053,"Gibson County, TN",20098,51422
47055,"Giles County, TN",11710,30971
47057,"Grainger County, TN",9566,25073
47059,"Greene County, TN",28093,73398
47061,"Grundy County, TN",5106,14148
47063,"Hamblen County, TN",25758,67715
47065,"Hamilton County, TN",151316,386256
47067,"Hancock County, TN",2773,7038
47069,"Hardeman County, TN",9049,25434
47071,"Hardin County, TN",10833,27617
47073,"Hawkins County, TN",23090,59371
47075,"Haywood County, TN",7166,17097
47077,"Henderson County, TN",10928,28183
47079,"Henry County, TN",13205,32883
47081,"Hickman County, TN",9180,25859
47083,"Houston County, TN",3190,8538
47085,"Humphreys County, TN",6864,19554
47087,"Jackson County, TN",4695,12376
47089,"Jefferson County, TN",21351,59217
47091,"Johnson County, TN",7172,18506
47093,"Knox County, TN",197298,506748
47095,"Lake County, TN",2022,6422
47097,"Lauderdale County, TN",9214,24630
47099,"Lawrence County, TN",16704,46467
47101,"Lewis County, TN",5153,13418
47103,"Lincoln County, TN",14589,36751
47105,"Loudon County, TN",23438,62129
47107,"McMinn County, TN",21471,56754
47109,"McNairy County, TN",9806,26103
47111,"Macon County, TN",9200,27189
